,broker_matching_name,choice,gpt,brokername
573,MURPHY,2402,True,"Murphy & Durieu, L.P."
574,MZSEC,2557,True,Mizuho Securities USA LLC
575,NAMIBIA,2983,True,Namibia Equity Brokers (Pty) Ltd
576,NATLSEC,873,False,B. Riley Wealth
577,NATSECCO,0,True,
578,NATUREO,293,False,Kepler Capital Markets
579,NAUSEC,2834,True,Nau Securities Limited
580,NBADSEC,2995,True,FAB Securities
581,NCBSTOCK,161,False,NCB Stockbrokers
582,NCPNOR,2467,True,NCP Northland Capital Partners Inc.
583,NEEDHAM,35,False,Needham & Company
584,NEIDIGER,878,True,"Neidiger, Tucker, Bruner"
585,NEPONSET,42,True,"Soleil Securities Group, Inc."
586,NEWB,219,True,Newbridge Institutional Research
587,NEXTGENE,156,True,Next Generation Equity Research
588,NIKOIL,1073,False,URALSIB Capital LLC
589,NIVESH,1696,False,IndiaNivesh Securities Limited
590,NOBE,888,False,"NOBLE Capital Markets, Inc."
591,NOLLENBE,889,False,"Nollenberger Capital Partners, Inc."
592,NOMURAEU,182,True,Nomura Securities Co. Ltd.
593,NOMURAFH,182,False,Nomura Securities Co. Ltd.
594,NOMURAUS,182,True,Nomura Securities Co. Ltd.
595,NORDLB,890,False,Norddeutsche Landesbank Girozentrale
596,NORTEST,892,True,Northeast Securities Inc.
597,NORTHLAN,893,False,Northland Capital Markets
598,NORTHRES,2338,False,Northcoast Research
599,NSTREET,1830,True,New Street Research LLP
600,NUMIS,895,False,Numis Securities Ltd.
601,NUTMEG,896,True,Nutmeg Securities Ltd.
602,NVERNON,881,False,"New Vernon Associates, Inc"
603,NYGLOBAL,882,True,"New York Global Securities, Inc."
604,OAKFINAN,3423,True,Oak Ridge Financial Services Group Inc.
605,OBERWEIS,897,False,Oberweis Publishing Company
606,OBSIRES,2933,False,"Obsidian Research Group, LLC"
607,OCTAGON,36,False,Octagon Capital Corporation
608,ODDO,899,False,ODDO BHF Corporate & Markets
609,ODEON,2533,False,Odeon Capital Group LLC
610,OFFUTT,107,False,"Offutt Securities, Inc."
611,OHMAN,157,True,Pareto Öhman
612,OLDE,707,False,"H&R Block Financial Advisors, Inc."
613,OLMSTEAD,129,False,Wedbush Securities Inc.
614,OLYMPIA,2543,True,Olympia Capital Markets Group
615,ONECORP,0,True,
616,ONFIELD,0,True,
617,OPPEN,108,True,Oppenheimer & Co. Inc.
618,OPPENGER,903,False,Oppenheim Research GMBH
619,ORIELSEC,904,True,Oriel Securities Ltd.
620,ORION,907,False,Norne Securities AS
621,OTKRITIE,2212,False,Sova Capital Limited
622,PACCREST,110,True,Pacific Crest
623,PACGROW,111,False,Pacific Growth Equities
624,PACINTL,928,False,Ventum Financial Corp
625,PACMAN,1065,False,BTG Pactual
626,PANME,165,True,Panmure Liberum Historic (Panmure Liberum).
627,PANMURE,326,False,WestLB AG
628,PARETO,284,False,Pareto Securities
629,PARIBEU,230,True,BNP Paribas Exane
630,PARILAT,230,True,BNP Paribas Exane
631,PARKER,916,True,Parker/Hunter Inc
632,PARTNERC,3691,True,"PartnerCap Securities, LLC"
633,PEACOCK,969,False,"RedChip Companies, Inc."
634,PEELHUNT,259,True,Peel Hunt LLP
635,PENSER,639,True,Penser Access
636,PEREGFL,352,True,BNP Paribas Securities (Asia)
637,PEREIRE,0,True,
638,PERELLA,6,False,Dresdner Kleinwort
639,PETERCAM,924,False,Degroof Petercam
640,PETERSCO,925,False,Peters & Co. Limited
641,PETRIE,854,True,Petrie Parkman & Co.
642,PHILIPFS,3224,True,Phillip Securities Pte Ltd
643,PICKERIN,1335,True,"Tudor, Pickering & Co. Securities, Inc."
644,PICTETBR,929,True,Pictet & Cie
645,PIPER,112,False,Piper Sandler Companies
646,PIPL,932,True,Pioneer Investcorp Limited
647,PIVOTAL,2495,False,Pivotal Research Group
648,PKOBP,2061,False,PKO BP Securities
649,PLURAL,3134,True,Brasil Plural
650,PNC,0,True,
651,POFEK,952,False,Psagot Securities Ltd.
652,POINT,2700,True,"Compass Point Research & Trading, LLC"
653,POORSTAN,247,False,CFRA Equity Research
654,PORTALES,0,True,
655,PORTZAMP,938,True,Portzamparc BNP Paribas
656,POTTER,12,False,UBS Investment Bank
657,PPARTGRP,0,True,
658,PREDICTP,1278,True,Prime Predictions
659,PREFTECH,941,True,"Preferred Capital Markets, Inc."
660,PRITCHAR,407,True,"Pritchard Capital Partners, LLC"
661,PROEQUIT,950,False,"Provident Research, Inc."
662,PSPCTINV,947,False,Prospect Investment Company
663,PUNK,38,False,Ladenburg Thalmann & Company
664,PUNTA,0,True,
665,PUTLOVE,960,True,Putnam Lovell NBF Securities
666,QILU,3200,m,Zhongtai securities
667,RABOBANK,218,True,Rabobank Equity Research
668,RAFFERTY,2392,True,Rafferty Capital Markets
669,RAINIER,0,True,
670,RAMIRCO,113,True,Ramirez & Co.
671,RAYEURO,1574,True,Raymond James Euro Equities
672,RAYJAYAR,2604,True,Raymond James Latin America S.A
673,RAYMOND,114,False,Raymond James & Associates
674,RBCDAIN,115,True,RBC Capital Markets
675,RBCDOMIN,115,False,RBC Capital Markets
676,RBRTSON,978,False,"Robertson Stephens, Inc."
677,RBSMOR,2925,True,Morgans Financial Limited
678,REDBURN,1116,False,Redburn Atlantic
679,REDCHIP,969,False,"RedChip Companies, Inc."
680,REDCLOUD,3385,False,Red Cloud Securities
681,REDWOOD,972,True,Redwood Securities Group Incorporated
682,REFCO,0,True,
683,RENCAP,2273,True,Renaissance Capital
684,RESEARCH,117,False,Research Capital Corporation
685,RMG,320,False,"Rye, Man and Gor Securities"
686,ROBINGRP,1050,False,"Robins Group, LLC"
687,ROBINSON,261,False,Truist Securities
688,ROCHDALS,39,False,Rochdale Securities LLC
689,ROE,409,True,"Roe Equity Research, LLC"
690,ROSSEC,2668,False,Rosenblatt Securities Inc.
691,RSPLATOU,2740,True,Clarksons Platou Securities
692,RTXSECS,103,False,"Merriman Capital, Inc"
693,RYANBECK,41,True,Ryan Beck & Co.
694,SALMAN,305,False,Salman Partners Inc.
695,SAMSNGFK,984,True,Samsung Securities Co. Ltd.
696,SANDLER,119,True,Sandler O'Neill
697,SANDS,985,False,Sands Brothers & Co. Ltd.
698,SANINVLC,429,False,Santander
699,SARASIN,505,False,Bank J. Safra Sarasin
700,SBCIFC,12,True,UBS Investment Bank
701,SBGSEC,589,True,SBG Securities (Proprietary) Limited
702,SBKBROOK,987,False,SBK-Brooks Investment Corp.
703,SCO,411,False,"SCO Financial Group, LLC"
704,SCOAST,185,False,"Capital One Securities, Inc."
705,SCOTT,175,False,BB&T Capital Markets
706,SEIDLER,127,True,Seidler Companies
707,SELECT,0,True,
708,SELECTEQ,1302,True,Select Equities Pty Ltd
709,SEMIEQ,0,True,
710,SEOUL,0,True,
711,SHAWAA,1002,True,Shaw and Partners Limited
712,SHENWAN,1000,m,"SWS Research Co., Ltd."
713,SHIELD,0,True,
714,SHIELDS,1003,False,Shields & Company
715,SHOREUK,2068,True,Shore Capital Group Ltd
716,SIDOTI,121,False,"Sidoti & Company, LLC"
717,SIGNALHI,414,True,Signal Hill Capital Group LLC
718,SILVIA,0,True,
719,SIMMONS,1009,True,Simmons & Company International
720,SINARA,0,True,
721,SINGRES,1447,False,Singular Research
722,SINOLINK,0,True,
723,SISMRES,1013,False,SISM Research & Investment Services
724,SKYCAP,417,True,Sky Capital LLC
725,SKYLINE,0,True,
726,SMBCNSAM,3470,False,SMBC Nikko Securities America
727,SMEETSCO,1779,False,Viet Capital Securities Joint Stock Company
728,SMOORE,1019,False,"Smith, Moore & Co."
729,SOGENED,999,False,Societe Generale Cross Asset Research
730,SOOCHOW,0,True,
731,SOUTH,122,False,Southwest Securities
732,SOUTHCRS,122,True,Southwest Securities
733,SPACSEC,0,True,
734,SPARTANC,3496,True,"Spartan Capital Securities, LLC"
735,SPDBINT,3538,True,SPDB International Holdings Limited
736,SPELMAN,0,True,
737,SPROCAP,0,True,
738,SPROTTSE,43,False,Cormark Securities Inc.
739,SRIDGE,2413,True,Southridge Research Group
740,STANCARD,0,True,
741,STANFIN,123,False,Stanford Group Company
742,STEICHEN,963,True,R.J. Steichen & Company
743,STEPHENS,44,False,"Stephens, Inc."
744,STERLING,0,True,
745,STERNE,1029,True,Sterne Agee & Leach
746,STEUB,154,False,Wolfgang Steubing AG Wertpapierdienstleister
747,STIFEL,124,False,Stifel
748,STJAMES,164,True,Northern Securities
749,STONE,176,True,"Stonegate Capital Markets, Inc."
750,STRATINT,24,False,FBR Capital Markets & Co.
751,STROEVE,0,True,
752,STRUDWIC,56,False,Anderson & Strudwick
753,STURDIV,151,False,"Sturdivant & Co., Inc."
754,STURZA,1034,False,Sturza's Institutional Research
755,SUMMANAL,420,True,Summit Analytic Partners
756,SUMMCAP,367,False,Colliers Securities
757,SUMMER,0,True,
758,SUMRES,3016,True,Summit Insights Group
759,SUSQUEH,195,False,"Susquehanna Financial Group, LLLP"
760,SUTRO,1037,True,"Sutro & Co., Inc."
761,SVENSKA,711,True,Handelsbanken Capital Markets
762,SWEDBANK,167,True,Swedbank Large Corporates & Institutions
763,SWESTSEC,0,True,
764,TAFM,0,True,
765,TAGLICH,152,False,"Taglich Brothers, Inc."
766,TDSI,1325,True,TD Securities
767,TECHRG,2426,False,Technology Research Group
768,TECHVEST,419,False,"Techvest, LLC"
769,TEJASSEC,0,True,
770,TELSEY,2889,False,Telsey Advisory Group LLC
771,TERRANOV,1044,True,Terra Nova Institutional
772,THEBENCH,1046,False,Benchmark Company
773,THOM,0,True,
774,THOMPRES,2365,True,"Thompson Research Group, LLC."
775,TIBRES,2248,True,Tiburon Research Group
776,TICON,2380,True,Ticonderoga Securities LLC
777,TIERONE,978,False,"Robertson Stephens, Inc."
778,TIGRESS,2982,True,Tigress Financial Partners LLC
779,TISCOFT,1331,False,Tisco Securities Co. Ltd.
780,TMCAPITA,638,False,Equity Research Services Inc
781,TOPEKA,2815,False,Topeka Capital Markets Inc.
782,TPCG,0,True,
783,TRISTONE,1059,True,Tristone Research
784,TROIKA,1114,False,Sberbank CIB Investment Research
785,TWENTY,435,True,21st Century Equity Research
786,TWPINDIA,609,True,Discovery Research- Thomas Weisel
787,UKMATRIX,0,True,
788,UNIBANCO,758,True,Itau BBA
789,UNICREDI,511,False,UniCredit Research
790,UNIGAM,2870,False,CBRE Securities
791,UNIONSEC,0,True,
792,UNITEDSE,0,True,
793,UNTERBUR,144,False,Collins Stewart LLC
794,USCASEC,2780,False,U.S. Capital Advisors LLC
795,USSEC,1074,True,US Securities & Futures Corporation
796,UTENDAHL,1075,True,Utendahl Capital Partners LP
797,VALORES,1181,False,Corp Research SA
798,VANKASPR,1088,False,"Wells Fargo Securities, LLC"
799,VARICORP,0,True,
800,VCL,0,True,
801,VCSC,1779,True,Viet Capital Securities Joint Stock Company
802,VECTOR,408,False,"Prudential Equity Group, LLC"
803,VELES,1344,False,"Veles Capital Investment Company, LLC"
804,VENTURER,0,True,
805,VERISEAR,2488,False,Veritas Investment Research Corp
806,VERTRESP,2836,m,Vertical Research Partners
807,VESTIGO,1079,True,Vestigo Associates
808,VINTAGER,1081,True,Vintage Research
809,VIRGINIA,74,True,Davenport & Company
810,VIRIDIAN,2527,False,BTIG
811,VOLPE,1283,True,Prudential Volpe Technology Group
812,VOTORAN,3095,False,Votorantim Corretora de Títulos
813,VSACAP,2858,True,VSA Capital Limited
814,VTBCAP,2483,False,VTB Capital
815,WARDTRA,0,True,
816,WARFH,12,True,UBS Investment Bank
817,WARLAT,12,True,UBS Investment Bank
818,WBETH,2878,True,WallachBeth Capital
819,WEATHER,0,True,
820,WEBRES,1088,False,"Wells Fargo Securities, LLC"
821,WEEDEN,300,False,"Weeden & Co., LP"
822,WEISEL,47,False,Thomas Weisel Equity Research
823,WEREJB,693,False,Goldman Sachs & Partners Australia Pty Ltd
824,WERTHEIM,1582,True,"Schroder & Co., Inc."
825,WESPOCAP,0,True,
826,WESTMIN,153,True,Westminster Securities Corporation
827,WESTPARK,3245,False,"WestPark Capital, Inc."
828,WESTROCK,102,False,MDB Capital Group LLC
829,WESTWIND,47,m,Thomas Weisel Equity Research
830,WHALE,1787,False,Bluestone Capital Corp.
831,WHEAT,1088,False,"Wells Fargo Securities, LLC"
832,WHENTRAD,1090,True,When2Trade Group
833,WHITAKER,868,False,Monarch Research LLC
834,WICARRFE,0,True,
835,WILLFIN,2498,True,"Williams Financial Group, Inc."
836,WILLIAMC,52,False,"Siebert Williams Shank & Co., LLC"
837,WILSONAA,1092,True,Wilsons Advisory and Stockbroking Ltd.
838,WISCO,2056,True,Wisco Research
839,WITCAPTL,1299,m,Schwab Soundview Capital Markets
840,WJBCAP,0,True,
841,WMJM,118,False,Madison Williams and Company LLC
842,WMSMITH,367,False,Colliers Securities
843,WNDRLICH,1370,False,Wunderlich Securities Inc.
844,WOLFE,2057,False,"Wolfe Research, LLC."
845,WOODCZ,155,False,Wood & Company
846,WOODGUND,567,False,CIBC Capital Markets
847,WORLDSEC,0,True,
848,WRHCO,128,False,WR Hambrecht + Co.
849,WSACCESS,0,True,
850,WSTREET,0,True,
851,XPINV,3657,False,XP Investimentos
852,YAMFH,0,True,
853,YORKTON,833,False,Macquarie Research
854,YUANTA,1098,True,Yuanta Research
855,ZACKSINV,1356,True,Zacks Investment Research Inc.
856,ZANNEX,206,True,Excellence Nessuah Brokerage Services Ltd.
857,ZELMAN,0,True,
858,ZOETE,4,True,Credit Suisse
859,ZURCHER,1100,False,Zürcher Kantonalbank
